"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"Apple","AAPL","128.70","0.70%","2.19T","94.36M"
"Microsoft","MSFT","219.42","0.06%","1.66T","32.52M"
"Amazon.com","AMZN","3.24K","-0.15%","1.62T","3.47M"
"Alphabet A","GOOGL","1.74K","-0.95%","1.18T","1.74M"
"Alphabet C","GOOG","1.75K","-0.86%","1.18T","1.62M"
"Facebook","FB","274.48","-0.43%","781.80B","16.38M"
"Tencent ADR","TCEHY","75.28","1.65%","717.29B","889.25K"
"Tencent Holdings","TCTZF","74.96","1.30%","717.29B","7.49K"
"Alibaba ADR","BABA","264.43","0.97%","715.45B","14.31M"
"Tesla","TSLA","655.90","5.32%","621.73B","56.27M"
"Berkshire Hathaway B","BRKb","224.68","1.25%","532.72B","7.39M"
"Berkshire Hathaway","BRKa","339.80K","0.39%","532.72B","865.00"
"Taiwan Semiconductor","TSM","103.90","-0.82%","469.73B","7.78M"
"Visa A","V","211.18","1.40%","418.27B","6.52M"
"Walmart","WMT","146.10","0.46%","413.36B","10.23M"
"J&J","JNJ","153.62","2.64%","404.41B","9.92M"
"JPMorgan Chase & Co Pg ADR","JPM_pg","25.71","0.78%","364.78B","77.63K"
"JPMorgan Chase & Co Ph ADR","JPM_ph","25.97","0.31%","364.78B","47.06K"
"JPMorgan","JPM","119.67","-0.83%","364.78B","11.62M"
"JPMorgan Chase Pref EE","JPM_pc","28.70","0.70%","364.78B","122.86K"
"Procter&Gamble","PG","138.25","0.71%","342.81B","7.41M"
"Mastercard","MA","336.90","1.45%","335.86B","2.73M"
"Nestle ADR","NSRGY","114.90","1.53%","332.94B","866.00K"
"Nestle","NSRGF","116.20","2.74%","332.94B","8.12K"
"NVIDIA","NVDA","533.65","0.75%","330.33B","5.78M"
"UnitedHealth","UNH","341.67","0.69%","324.18B","2.53M"
"Walt Disney","DIS","173.55","0.25%","314.21B","9.00M"
"Louis Vuitton ADR","LVMUY","123.07","-0.15%","310.69B","149.75K"
"Roche Holding ADR","RHHBY","43.66","0.34%","301.02B","2.05M"
"Roche Holding Participation","RHHVF","345.00","-1.43%","301.02B","26.93K"
"Home Depot","HD","273.97","1.62%","294.96B","4.25M"
"Samsung Electronics Co","SSNLF","2.21K","0.00%","294.11B","0.00"
"PayPal Holdings Inc","PYPL","235.51","2.31%","276.48B","8.91M"
"Industrial Commercial Bank of China","IDCBY","11.95","-0.50%","272.47B","35.31K"
"Bank of America Corp Pe ADR","BAC_pe","25.26","0.42%","249.71B","24.59K"
"Bank of America Corp Pl Pref","BAC_pl","1.54K","0.56%","249.71B","2.46K"
"Bank of America Corp Pl ADR","BML_pl","25.05","0.04%","249.71B","27.14K"
"Bank of America Pm","BAC_pm","27.62","0.66%","249.71B","78.83K"
"Bank of America","BAC","28.83","0.38%","249.71B","43.18M"
"Bank of America Corp Pg ADR","BML_pg","22.25","1.51%","249.71B","7.90K"
"Bank of America Corp Ph ADR","BML_ph","21.80","0.55%","249.71B","21.89K"
"Bank of America Corp Pj ADR","BML_pj","25.12","0.26%","249.71B","6.98K"
"Verizon","VZ","60.01","0.17%","248.33B","12.10M"
"China Construction Bank Corp","CICHY","14.75","0.07%","245.03B","87.94K"
"China Construction Bank","CICHF","0.70","0.00%","245.03B","0.00"
"Ping An Insurance Company of China","PNGAY","24.63","1.48%","244.44B","76.75K"
"Adobe","ADBE","495.36","1.11%","237.63B","2.18M"
"Netflix","NFLX","532.90","1.54%","235.43B","3.19M"
"Comcast","CMCSA","51.36","-0.14%","234.99B","13.46M"
"Coca-Cola","KO","53.27","0.40%","228.92B","12.68M"
